9333.33 9333.33 0
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
inf inf -nan
